排名,供货商,订单数,金额(元),客单价,金额占比(%),供货平台
1,邢台禾松食品销售有限公司,14499,290563.7199999797,20.04,28.19,拼多多/抖店
2,泉州市俊发卫生用品有限公司,3929,245145.8200000003,62.39,23.78,拼多多/抖店
3,天海藏食品（山东）有限公司,3797,134598.94000000018,35.45,13.06,抖店
4,泉州味满堂食品有限公司,4721,134532.8500000018,28.5,13.05,抖店
5,深圳市苏禾电子商务有限公司,3650,77910.46000000005,21.35,7.56,拼多多/抖店
6,上海睿思敏服装有限公司,789,22921.46999999996,29.05,2.22,拼多多
7,杭州东宇品牌管理有限公司,1801,22520.46999999915,12.5,2.18,抖店
8,上海俐噢信息科技有限公司,320,13859.159999999947,43.31,1.34,抖店
9,漳州市信冠食品有限公司,628,8602.520000000015,13.7,0.83,抖店
10,杭州童童来了科技有限公司,164,7063.0,43.07,0.69,抖店
11,河南食族人食品科技有限公司,206,6797.399999999995,33.0,0.66,抖店
12,北京食通达新零售有限公司,150,5946.149999999999,39.64,0.58,抖店
13,衡阳市石鼓区畅健副食商行,263,5496.799999999997,20.9,0.53,抖店/小红书
14,十月稻田集团股份有限公司,241,5131.780000000001,21.29,0.5,抖店
15,烟台欣和企业食品有限公司,289,4457.3000000000175,15.42,0.43,抖店
16,杭州祖名唯品科技有限公司,209,3938.5,18.84,0.38,抖店
17,山西袋鼠先生商贸有限公司,187,3773.9200000000037,20.18,0.37,抖店
18,深圳市龙岗区泰新鲜百货商行（个体工商户）,265,3507.419999999984,13.24,0.34,抖店
19,双流祥和食品批发部,96,3131.0,32.61,0.3,抖店
20,天津西贝功夫菜网络科技有限公司,57,3090.0,54.21,0.3,抖店
21,广东小康科技有限公司,169,2296.2999999999943,13.59,0.22,抖店
22,深圳市食汇供应链管理有限公司,133,2205.829999999998,16.59,0.21,抖店
23,广州羽霖商贸有限公司,56,2155.7000000000007,38.49,0.21,抖店
24,南通市金大康食品有限公司,99,1990.0000000000036,20.1,0.19,抖店
25,四川爱朵东昇贸易有限公司,36,1819.0,50.53,0.18,拼多多/抖店
26,成都跃耀科技有限公司,24,1630.3999999999999,67.93,0.16,抖店
27,宿迁西麦电子商务有限公司,74,1465.8699999999997,19.81,0.14,抖店
28,云南肆只猫实业有限公司,60,1018.2899999999993,16.97,0.1,抖店
29,北京市老才臣食品有限公司,71,997.1999999999997,14.05,0.1,抖店
30,泰新鲜（佛山）绿色食品有限公司,68,966.87,14.22,0.09,抖店
31,浙江臻诺梵食品有限公司,25,896.2999999999998,35.85,0.09,抖店
32,湖北良品铺子电子商务有限公司,17,865.0,50.88,0.08,抖店
33,南乐县三支猪网络科技有限公司,20,691.0,34.55,0.07,抖店
34,三只松鼠股份有限公司,21,672.3,32.01,0.07,抖店
35,厦门先点商贸有限公司,48,589.1400000000001,12.27,0.06,抖店
36,杭州巴丽岛电子商务有限公司,18,543.5,30.19,0.05,抖店
37,洽洽食品股份有限公司,37,537.8000000000001,14.54,0.05,抖店
38,郑州爱豆品牌管理有限公司,16,530.88,33.18,0.05,抖店
39,石家庄市惠康食品有限公司,7,426.7,60.96,0.04,抖店
40,山西依能饮品有限公司,13,413.7,31.82,0.04,抖店
