排名,商品,订单数,金额(元),客单价
1,芯蒸呈定制宽面原味,6721,127432.31,18.96
2,林饱饱糯米海苔饭团大分量加热即食营养美食早餐夜宵,3728,103202.29,27.68
3,【麻酱火鸡面】芯蒸呈浓香麻酱火鸡面113g韩式泡面拌面,2391,45754.69,19.14
4,美味壹客全麦坚果厚切吐司手撕面包饱腹代餐自律期早餐面包零食,1802,42234.0,23.44
5,【芯蒸呈番茄肉酱味火鸡面12包】方便面辣味十足过瘾,1794,42563.17,23.73
6,美味壹客星空莓野全麦吐司厚切生吐司营养早餐代餐好吃健康面包,1662,30684.0,18.46
7,【新老款随机发】布班迪甄芯薄纸尿裤婴儿拉拉裤医护级超薄尿不湿,1534,95932.0,62.54
8,【王老吉无蔗糖八宝粥320g】粗粮养生粥适合中老年人,1369,15584.4,11.38
9,【3袋】天海藏广味腊肠 炒菜香肠腊肉肠煲仔饭传统广式美味下酒菜,1083,18252.0,16.85
10,【控价1箱2包64.9元】布班迪甄芯薄纸尿裤拉拉裤婴儿超薄尿不湿,1018,65830.0,64.67
11,【10盒】天海藏 麻辣小龙虾尾250g/盒虾球 虾尾 加热即食,858,32357.0,37.71
12,芯蒸呈甜辣炸鸡味火鸡面粗面版筋道爽滑鲜香方便宽面,844,22764.24,26.97
13,【两分钟即食】林饱饱芝士牛肉卷鸡肉卷肉嫩多汁美味冷冻营养早餐,775,25371.24,32.74
14,【恢复原价，否则取消合作】【10盒】天海藏 麻辣小龙虾尾250g/盒,756,45033.5,59.57
15,【3袋/10袋】天海藏黑鱼金汤酸菜鱼430g/袋 顺丰京东发货甄选活鱼,680,25241.0,37.12
16,【新品奶油火鸡面】芯蒸呈定制宽面奶油火鸡面拌面上班族夜宵速食,507,10348.41,20.41
17,【控价1箱2包64.9元】【新老款随机发】布班迪甄芯薄尿不湿,483,31494.0,65.2
18,【麻酱火鸡刀削面】芯蒸呈浓香麻酱火鸡面夜宵速食开学季吃,456,10367.45,22.74
19,【芯蒸呈火鸡面12包三拼】网红速食面条多种口味组合装,424,7840.56,18.49
20,【芯蒸呈麻酱火鸡面大桶10桶】方便面超满足大杯装浓郁醇香,399,6357.1,15.93
21,芯蒸呈螺蛳粉味火鸡面酸臭热辣爽口嚼劲十足113g*10,374,7026.65,18.79
22,韩式炸酱面芯蒸呈113g口味浓香酱味拌面劲道爽滑,309,5267.65,17.05
23,【页面价10.9以上，到手价13.9否则拉黑】茉莉原味茶饮料,298,3996.55,13.41
24,思念上汤小云吞三鲜馄饨荠菜猪肉抄手120g15只方便冷冻速食快早餐,272,12182.2,44.79
25,严格控价99低价不发【布班迪灵龙裤Pro】婴儿纸尿裤拉拉裤尿不湿,254,20300.0,79.92
26,【王老吉八宝粥320g*6-12罐】营养丰富口感弹糯慢熬好粥,247,3529.9,14.29
27,祖名香逗卷500g豆干网红辣条休闲食品推荐零食小吃豆腐干健康零食,208,3920.0,18.85
28,十月稻田玉米糙米饭团,192,3416.0,17.79
29,袋鼠先生低脂高蛋白鸡胸肉即食休50g*10袋（混合口味）,187,3773.92,20.18
30,山姆多香葱薄脆饼干休闲零食超市同款独立包装一件代发,174,2589.0,14.88
31,猴头菇山药苏打饼干咸味无糖梳打早餐代餐休闲零食整箱包装饼干,173,2376.17,13.74
32,【控价1箱2包99元】布班迪灵龙裤Pro婴儿纸尿裤拉拉裤尿不湿,173,13440.0,77.69
33,【严格控价-欣和葱伴侣新品风味酱】调味酱减盐家用拌面拌饭炒菜,173,2341.1,13.53
34,海天酸辣凉拌汁560g酸爽清香开胃,158,2157.8,13.66
35,【良品壹面奶油火鸡面6包芝士火鸡面6包】方便面美味组合装,146,2655.84,18.19
36,林饱饱正宗纸皮烧麦皮薄软糯速冻半成品营养早餐加热即食60克大个,127,2719.03,21.41
37,王老吉银耳燕窝八宝粥人参枸杞八宝粥八五谷杂粮营养速食粥,124,1679.1,13.54
38,品牌直发 耶气满满100%香水椰300ml*12瓶椰子水电解质水,120,5240.0,43.67
39,八宝手工切糕坚果切糕传统小吃葡萄干核桃巴旦木传统糕点解馋零食,119,1223.12,10.28
40,【双拼宽面】芯蒸呈定制宽面超辣火鸡面麻酱火鸡面113g,98,1658.16,16.92
41,上行斋和风生巧大福 17枚网红香浓巧克力福团糯米糍脏脏团雪媚娘,97,1950.2,20.11
42,喜茶上新牛乳茶奶茶饮料茉莉浓抹牛乳茶小奶茉乳饮料350ml下午茶,92,2975.0,32.34
43,美味壹客全麦坚果欧包0添蔗糖健身核桃面包营养早餐食品,89,1785.96,20.07
44,【控价1箱2包66.9元】布班迪倾芯柔纸尿裤拉拉裤,82,5640.0,68.78
45,布班迪悬挂式绵柔巾无有害添加敏感肌适用一次性洗脸巾,80,609.2,7.61
46,【7A抑菌】嘟嘟家儿童短袖T恤夏装男童上衣夏季女童衣服宝宝童装,78,1622.4,20.8
47,[100%棉]嘟嘟家宝宝背带裤儿童裤装男童女童衣服婴儿夏季薄款裤子,73,2656.6,36.39
48,老才臣豆腐乳180g原味红方不辣纯手工酱豆腐霉豆腐下饭拌面拌饭,71,997.2,14.05
49,【麦醉侠红油麻酱凉皮】速食凉皮劲道弹滑麻酱鲜香红油酸辣,71,1248.2,17.58
50,控价已解决，后续有问题及时配合【麦醉侠红油麻酱凉皮】,59,1274.0,21.59
