日期,订单数,金额(元),客单价
2026-03-01,388,8091.75,20.86
2026-03-02,349,7910.45,22.67
2026-03-03,311,6333.6,20.37
2026-03-04,372,8968.82,24.11
2026-03-05,512,12214.43,23.86
2026-03-06,507,11722.55,23.12
2026-03-07,448,9872.91,22.04
2026-03-08,496,10700.49,21.57
2026-03-09,475,10010.97,21.08
2026-03-10,485,10467.02,21.58
2026-03-11,510,11672.24,22.89
2026-03-12,588,12246.33,20.83
2026-03-13,361,8019.66,22.22
2026-03-14,326,7665.9,23.52
2026-03-15,425,10727.43,25.24
2026-03-16,407,9755.81,23.97
2026-03-17,588,14574.47,24.79
2026-03-18,589,14713.11,24.98
2026-03-19,481,12716.17,26.44
2026-03-20,380,10810.53,28.45
2026-03-21,448,14012.07,31.28
2026-03-22,444,15242.33,34.33
2026-03-23,491,15452.4,31.47
2026-03-24,549,18157.46,33.07
2026-03-25,460,16402.16,35.66
2026-03-26,466,14853.4,31.87
2026-03-27,407,12553.73,30.84
2026-03-28,401,12147.93,30.29
2026-03-29,433,13396.53,30.94
2026-03-30,495,14168.31,28.62
2026-03-31,456,13798.05,30.26
2026-04-01,432,12887.67,29.83
2026-04-02,414,12142.48,29.33
2026-04-03,410,12188.95,29.73
2026-04-04,297,8245.87,27.76
2026-04-05,370,9829.3,26.57
2026-04-06,410,11453.81,27.94
2026-04-07,418,11409.62,27.3
2026-04-08,397,10683.85,26.91
2026-04-09,363,10260.52,28.27
2026-04-10,343,8926.27,26.02
2026-04-11,326,9676.5,29.68
2026-04-12,404,12221.18,30.25
2026-04-13,427,11350.17,26.58
2026-04-14,397,11143.41,28.07
2026-04-15,380,10093.47,26.56
2026-04-16,414,13347.4,32.24
2026-04-17,460,13956.11,30.34
2026-04-18,459,14834.21,32.32
2026-04-19,447,13227.28,29.59
2026-04-20,428,12503.48,29.21
2026-04-21,430,11020.0,25.63
2026-04-22,229,7528.01,32.87
2026-04-23,238,6675.31,28.05
2026-04-24,284,8380.93,29.51
2026-04-25,337,9534.46,28.29
2026-04-26,373,10400.24,27.88
2026-04-27,438,12095.91,27.62
2026-04-28,427,14563.59,34.11
2026-04-29,457,17027.83,37.26
2026-04-30,383,14438.52,37.7
2026-05-01,327,10567.87,32.32
2026-05-02,390,14993.54,38.44
2026-05-03,381,14491.69,38.04
2026-05-04,282,9082.56,32.21
2026-05-05,377,10529.96,27.93
2026-05-06,453,11651.32,25.72
2026-05-07,467,11791.75,25.25
2026-05-08,441,13175.75,29.88
2026-05-09,402,10952.5,27.25
2026-05-10,440,10953.25,24.89
2026-05-11,519,14118.53,27.2
2026-05-12,495,11978.32,24.2
2026-05-13,468,12500.42,26.71
2026-05-14,447,13346.43,29.86
2026-05-15,375,8867.98,23.65
2026-05-16,384,9038.63,23.54
2026-05-17,436,10909.79,25.02
2026-05-18,501,11993.87,23.94
2026-05-19,446,10725.03,24.05
2026-05-20,421,10961.31,26.04
2026-05-21,355,9303.03,26.21
2026-05-22,301,7489.65,24.88
2026-05-23,310,7620.74,24.58
2026-05-24,350,8586.07,24.53
2026-05-25,422,10580.72,25.07
2026-05-26,326,8608.3,26.41
2026-05-27,298,8057.0,27.04
2026-05-28,265,6182.08,23.33
2026-05-29,249,6868.59,27.58
2026-05-30,234,6795.16,29.04
2026-05-31,281,6715.78,23.9
