供货商,关闭订单,总订单,关闭率(%)
上海睿思敏服装有限公司,451,1240,36.37
深圳市食汇供应链管理有限公司,31,164,18.9
广东小康科技有限公司,33,202,16.34
衡阳市石鼓区畅健副食商行,45,308,14.61
邢台禾松食品销售有限公司,2447,16946,14.44
北京食通达新零售有限公司,19,169,11.24
十月稻田集团股份有限公司,29,270,10.74
南通市金大康食品有限公司,11,110,10.0
双流祥和食品批发部,10,106,9.43
漳州市信冠食品有限公司,61,689,8.85
杭州祖名唯品科技有限公司,20,229,8.73
河南食族人食品科技有限公司,18,224,8.04
泉州市俊发卫生用品有限公司,326,4255,7.66
杭州童童来了科技有限公司,13,177,7.34
天海藏食品（山东）有限公司,297,4094,7.25
泉州味满堂食品有限公司,367,5088,7.21
深圳市苏禾电子商务有限公司,279,3929,7.1
烟台欣和企业食品有限公司,22,311,7.07
上海俐噢信息科技有限公司,23,343,6.71
杭州东宇品牌管理有限公司,126,1927,6.54
山西袋鼠先生商贸有限公司,7,194,3.61
深圳市龙岗区泰新鲜百货商行（个体工商户）,5,270,1.85
